Genre,cnt,mergeto,
Platformer,99,x？,平台游戏
3D,30,x？,
2D,117,x？,
General,200,x？,
PC-style RPG,13,x？,
Other,1,x,
Parlor,1,x,
Console-style RPG,1,x,
4X,10,x,
Artillery,1,wargame,
Wargame,2,wargame,
WWII,2,wargame,
Combat,6,wargame,
Horizontal,7,top-down,横版过关
Scrolling,5,top-down,滚动游戏
Vertical,5,top-down,垂直过关
Horror,1,Survival,
Board / Card Game,1,Strategy,
Government,1,strategy,
Matching,1,strategy,
MOBA,2,Strategy,
Tycoon,2,strategy,
Static,2,strategy,
Career,2,strategy,
Business / Tycoon,3,strategy,
Civilian,3,strategy,
Card Battle,5,strategy,
Management,6,strategy,
Command,6,strategy,
Tactical,20,strategy,
Tactics,25,strategy,
Boxing / Martial Arts,1,sports,
Biking,1,sports,
Exercise / Fitness,1,sports,
Motorcycle,1,sports,
Rally / Offroad,2,sports,
Ice Hockey,3,sports,
Golf,4,sports,
Skate / Skateboard,4,sports,
Football,4,sports,
Skateboarding,5,sports,
Pinball,6,sports,
Baseball,8,sports,
Basketball,9,sports,
Soccer,25,sports,
Modern Jet,2,sim,现代喷气飞机
Simulation,49,sim,sim 和 simulation有区别吗？
Marine,1,sim,
Submarine,2,sim,
Civilian Plane,2,sim,
Small Spaceship,4,sim,
Light Gun,1,shooter,
Shoot-'Em-Up,26,shooter,
Futuristic,2,Sci-Fi,
Space,2,Sci-Fi,
Virtual,5,Sci-Fi,
Virtual Life,5,rpg,
Rhythm,14,Music,
Street,2,Modern,
Rail,3,Modern,
GT / Street,5,Modern,
Stacking,3,Minigame,叠叠乐
Party / Minigame,1,Minigame,
Point-and-Click,10,minigame,
Massively Multiplayer Online,7,Massively Multiplayer,
Visual Novel,5,linear,
Beat-'Em-Up,4,fighting,
Flight,5,fighting,
Formula One,2,Automobile,
Stock Car,6,automobile,
Driving,10,automobile,
Compilation,32,？,编译游戏？
Sci-Fi,80,,科幻
Arcade,89,,街机
Alternative,3,,？替代现实 一种奇怪的游戏题材
Sandbox,9,,
Individual,10,,
Massively Multiplayer,11,,
Top-Down,14,,
Music,15,,
Survival,15,,
Puzzle,18,,
Linear,18,,
Third-Person,19,,
Traditional,19,,
Japanese-Style,21,,
Fighting,22,,
Real-Time,28,,
Western-Style,29,,
Open-World,35,,
Historic,40,,
Automobile,42,,
Turn-Based,43,,
Racing,44,,
Miscellaneous,45,,
Adventure,49,,
Team,49,,
Modern,54,,
Fantasy,58,,
Sim,59,,
Sports,59,,
Strategy,74,,
Action RPG,85,,
First-Person,107,,
Role-Playing,138,,
Action Adventure,139,,
Shooter,157,,
Action,281,,